Taxon,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
f0d86b5045042a6e8d57ccfbc7bc7ca4,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelotrichaceae, Dielma,,0.712151666
053dca3b4f70dd684e28b3c3535378b3,Bacteria, Firmicutes, Clostridia, Clostridia_vadinBB60_group, Clostridia_vadinBB60_group, Clostridia_vadinBB60_group, uncultured_bacterium,0.987595346
bbea48925d1803a56b246639309bb2f7,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides,,0.999999991
c9274897890de55054ee7f126a3d9549,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides,,0.999998601
8f7a52438cd2ed116fbb6abecd886c73,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae, Lachnoclostridium,,0.833065836
e450357463ed9c6eb153da5bf972a436,Bacteria, Bacteroidota, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter,,0.992519005
f0bbecb378a88dc8a96678c1086565c7,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides,,0.999999947
e577688781b84a267414257f6d5c76d6,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides,,0.999999998
cd95ee926f581475d3e940d87b86a92b,Bacteria, Firmicutes, Clostridia, Oscillospirales, Ruminococcaceae, Incertae_Sedis, uncultured_bacterium,0.753578654
541ec62b0f90585ad0169ee26ccab743,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Methylophilaceae, Methylophilus, uncultured_bacterium,0.726273835
20b228c38c82f0ddb1c02b744a0f8556,Bacteria, Firmicutes, Bacilli, RF39, RF39, RF39,,1
4b693d226f6bc66fd2675ca55aa19260,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,0.999747023
2818dfe2ff4759a18b375878201bb4bd,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae, Lachnoclostridium,,0.809846271
074e66f75650948b8df12cfe2ffb5f37,Bacteria, Bacteroidota, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter,,0.983080898
6ecefd01b465a3b5fe571bf8c4416966,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides,,0.999999954
6e525d8964c274c3243e87e1785ae591,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae,,,0.999995965
2c2018d4ecccfa3cb27b99a04c9222b1,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides,,1
7378fb4dda2a891cf2a89a2bbd80889a,Bacteria, Firmicutes, Clostridia, Oscillospirales, Ruminococcaceae, Candidatus_Soleaferrea, uncultured_Firmicutes,0.867260243
1e7092679fbe405acd18cc97c52910e9,Bacteria, Firmicutes, Negativicutes, Veillonellales-Selenomonadales, Selenomonadaceae,,,0.785473569
b3ee906984b551fe8d070b4496390a2f,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae,,,0.999902099
08d7d2af4a5e5a3e6901d35cc050a85f,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium_sensu_stricto_1,,0.991035323
db561709116a86446ce41699187d388b,Bacteria, Firmicutes, Clostridia, Oscillospirales, Oscillospiraceae, uncultured, uncultured_Clostridiales,0.773826164
2a2515516d7be0805c7cce7f484bcbed,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Tannerellaceae, Parabacteroides,,0.998848409
53bac4af9a171f8338709988a79eb57f,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Rikenellaceae, Rikenella, uncultured_bacterium,0.999991406
eb1aa9611a7851151fa5ad4b745afd1b,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides,,0.999878369
7f854cbab378bf9a59cbe38cde01b6e3,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae,,,0.999951706
d154b7daf6c5d4e940258d765858af0c,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,0.999059669
1d7b5398855e7b0006dddaf8d90d1c01,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae, Lachnoclostridium,,0.972348458
111f5b61216182edc5761031b329f0fd,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Rikenellaceae, Alistipes,,1
9a3f20fe0658a9cb10ac826577f7be8f,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Marinifilaceae, Odoribacter, uncultured_bacterium,0.988533324
540a73344e28e242fe7304802b63d32c,Bacteria, Bacteroidota, Bacteroidia, Flavobacteriales, Flavobacteriaceae, uncultured, gut_metagenome,1
1b800206c3aeca5c46f7cfc1d1dc2c3a,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Rikenellaceae, Rikenella, Rikenella_microfusus,0.997905632
59a08063b4fdea9d078cf07556aa6e26,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Anaerovoracaceae, Anaerovorax, uncultured_bacterium,0.936484393
e7044fcebb14b72ecc72fe68d9bada8f,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Tannerellaceae, Macellibacteroides, uncultured_bacterium,0.926622647
f727c4a931bba394c5132fd14623ab00,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelatoclostridiaceae, Erysipelatoclostridium, Erysipelotrichaceae_bacterium,0.986550563
80c94273e8dd3a710dd64cfbc819bb9e,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae, Lachnoclostridium,,0.952062691
b988b4b45c48da18cc013941fc1a4232,Bacteria, Firmicutes, Clostridia, Clostridia_vadinBB60_group, Clostridia_vadinBB60_group, Clostridia_vadinBB60_group, uncultured_bacterium,0.994036503
351b54d7b9d1e249716363a0b95d9741,Bacteria, Firmicutes, Clostridia, Oscillospirales, Oscillospiraceae, Intestinimonas, uncultured_Ruminococcaceae,0.838879471
5d13b7cd1f59206936687e97d07b7cdf,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae, Lachnospiraceae_NK4A136_group,,0.712474924
df6c1685f9707e439f04485ed3d50f21,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelotrichaceae, Faecalitalea, uncultured_bacterium,0.715601337
968eab1ef9b7d5d40f74f009682a0882,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,,,0.999999654
239009a872044ea4982d38ecde2c7410,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Caballeronia-Paraburkholderia,,0.999884368
8ea407015c3d68287313efe86990c5b1,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, Variovorax,,0.782213908
59defa3633c2282d06d46da1589f51c4,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae,,,0.999998107
c8a31dc3ad45453e25cf7d508ae9565a,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae,,,0.9995233
8543d35610ac35d56a339d17f2e5904f,Bacteria, Firmicutes, Clostridia, Clostridia_UCG-014, Clostridia_UCG-014, Clostridia_UCG-014,,0.946056036
2edc52d3bfdef86f6c6c8d4738b43782,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium_sensu_stricto_1,,0.949275505
4637321a52de300f1823d4abe8e7e314,Bacteria, Actinobacteriota, Actinobacteria, Kineosporiales, Kineosporiaceae, Kineococcus,,0.999996808
961adb29fd3e0743ceeeeb9929fdb8c2,Bacteria, Firmicutes, Clostridia, Oscillospirales, uncultured, uncultured, uncultured_bacterium,0.703273505
69b02bfd5d01c961896899458032cbf6,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelotrichaceae, Erysipelotrichaceae, uncultured_bacterium,0.976666425
ec428ae3f4595a0b1963aea156e42e15,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium,,0.985981735
5b2245e7c398fbcad8f83c38587ea7f5,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Anaerovoracaceae, Anaerovorax, uncultured_bacterium,0.958435548
08e3317a6b0db02038b08dfb4f612dc1,Bacteria, Firmicutes, Clostridia, Oscillospirales, Ruminococcaceae, Paludicola, uncultured_bacterium,0.780097599
7112ce5f17f13603c9476221aa60dc60,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae,,,0.999991903
ccc5d6a1daa5b57d6e5d1e0c0dd3438b,Bacteria, Firmicutes, Clostridia, Clostridia_vadinBB60_group, Clostridia_vadinBB60_group, Clostridia_vadinBB60_group, uncultured_organism,0.710962463
b57744bd30af9f7a4d538d0aba27596b,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae, Duganella,,0.967619322
127d9b272dbac58c707e6cf8ea59fba0,Bacteria, Firmicutes, Clostridia, Clostridia_UCG-014, Clostridia_UCG-014, Clostridia_UCG-014,,0.999999999
b354e84f92b2d8864ba0519e800ccf99,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium,,0.982791031
f41afc2b97966e207de55b6fa074f690,Bacteria, Firmicutes, Clostridia, Oscillospirales, Oscillospiraceae, uncultured,,0.796114101
d02193001127b2dbf519466d883908a6,Bacteria, Firmicutes, Clostridia, Clostridia_UCG-014, Clostridia_UCG-014, Clostridia_UCG-014,,0.999999974
28b17bdf101ac17605a3f1fbae1e45db,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Tannerellaceae, Parabacteroides, uncultured_bacterium,0.894264484
f30cbd76d49292dd3c27c181f11395c8,Bacteria, Bacteroidota, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter,,0.995909371
ea11ba99362e0959064a314df898cae9,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelotrichaceae, Faecalitalea, uncultured_bacterium,0.976372654
093d873a3a18c95b35baa7d66ee25bfa,Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Microbacteriaceae, Leifsonia,,0.725591888
03e717b37f883558ad6c62e842d6a5af,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Dysgonomonadaceae, Dysgonomonas,,0.999999982
0035ee92905dde518703ffeb88ea0b16,Bacteria, Firmicutes, Negativicutes, Veillonellales-Selenomonadales, Selenomonadaceae,,,0.970054242
1f0f514cfbd65bb41bd0ba59811e524d,Bacteria, Verrucomicrobiota, Verrucomicrobiae, Verrucomicrobiales, Akkermansiaceae, Akkermansia, uncultured_Verrucomicrobia,0.999990412
37263866e885077c6e55a8d57452c119,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Devosiaceae, Devosia,,0.999222313
4fcf2a42d59136076e735e3ab1cce7f1,Bacteria, Firmicutes, Bacilli, RF39, RF39, RF39,,0.999999901
02d747f6ff8d26327cc1e0672cb13cf8,Bacteria, Firmicutes, Bacilli, RF39, RF39, RF39, uncultured_bacterium,0.766049603
e41d03c7c3aa32e2e05b86c12bf076fd,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae,,,0.999779086
014e6e175d22a556bf7a9a0b75bc090f,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,,,0.999984337
cd33788b8a6258828bf097f388ad0a1f,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae,,,0.959969749
8e3bf43d775651d2a16f3254f72029d9,Bacteria, Bacteroidota, Bacteroidia, Chitinophagales, Chitinophagaceae, Edaphobaculum, uncultured_bacterium,0.981511443
107aa7e6b56274803bffd1ccff5b2ee6,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter,,0.997293984
729f9ce7605ca65a8face8a63d39dac3,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae, Lachnoclostridium,,0.753880985
895802d014f18175377696da765e4452,Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Microbacteriaceae,,,0.999979022
4979b975b37acfd6ef0ac079f7d1adf7,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, Bacteroides_sp.,0.725988169
a9e3a12341deb7c28e85c0cd6ba10217,Bacteria, Bacteroidota, Bacteroidia, Chitinophagales, Chitinophagaceae, Edaphobaculum, uncultured_bacterium,0.862672116
e911224683813b5f9bf4cec17d01235b,Bacteria, Firmicutes, Clostridia, Oscillospirales, Ruminococcaceae, Anaerotruncus, Anaerotruncus_sp.,0.743509258
83e8f941ebfaf966ed1b7d81e21e43a6,Bacteria, Bacteroidota, Bacteroidia, Flavobacteriales, Weeksellaceae, Chryseobacterium,,0.999988894
296052bd7660222d35cb744f9607801f,Bacteria, Firmicutes, Clostridia, Oscillospirales, Ruminococcaceae, Anaerotruncus,,0.835034747
8c71db13a87dcdc4fbc97609d152c1f9,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae,,,0.999874587
2e65ec2649166fb57796b93b3dcda02e,Bacteria, Firmicutes, Clostridia, Oscillospirales, Ruminococcaceae, Anaerotruncus,,0.875844731
389002e2d8fe919ab91e37afeae549bc,Bacteria, Proteobacteria, Gammaproteobacteria, Salinisphaerales, Solimonadaceae, Nevskia, Nevskia_terrae,0.784039339
b3a62806813897ab61e904c2b347a28a,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae,,,0.999990237
a6d33eed73db4e13e3c72e7845a9295e,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Brevundimonas,,0.999999367
ace2a4c40bfbb2307f8b3d978666489f,Bacteria, Bacteroidota, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Mucilaginibacter,,0.996763056
5fa92cf305a22a2aa59d5916c2dee693,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium,,0.983565669
f52e34a07ff2e814f50950ea181cb271,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter,,0.999935809
464d37922c41c5ed83acc17ba2b2952f,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae,,,0.999999049
1552ec8731eca7b1e9c14c0a1111f410,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae,,,0.999999246
183c5388e3478e45f4c2c45bc9fcaa6c,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelotrichaceae, Faecalitalea, uncultured_bacterium,0.979847027
083f699809b1c8d4afaeca8e8fbc83b4,Bacteria, Firmicutes, Clostridia, Oscillospirales, Ruminococcaceae,,,0.99947141
25b52f18ea6c7da2ab99e4c2a918324c,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae,,,0.957419038
08a4a9cbede08bf68ca33ee4c52e7b50,Bacteria, Firmicutes, Clostridia, Oscillospirales, Ruminococcaceae, Incertae_Sedis, uncultured_bacterium,0.983995706
1e08155b75316169d1dc78a8f5d79c7d,Bacteria, Verrucomicrobiota, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Chthoniobacter,,0.999999976
cf8bf0b345405caaba7cc3268757a408,Bacteria, Bacteroidota, Bacteroidia, Flavobacteriales, Weeksellaceae, Chryseobacterium,,0.999957354
77d6a7db6de3bb1f15a02fdb36f90627,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Bradyrhizobium,,0.801938138
0fbf7e0a4a343e55acfcd531083d070a,Bacteria, Bacteroidota, Bacteroidia, Cytophagales, Hymenobacteraceae, Hymenobacter, uncultured_bacterium,0.796674261
65bab1282e7183af1e0683df61e56b24,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas,,0.99999843
266429b531d9f979893fa5e8393b92c5,Bacteria, Verrucomicrobiota, Verrucomicrobiae, Chthoniobacterales, Xiphinematobacteraceae, Candidatus_Xiphinematobacter, metagenome,0.98906043
4da6b082835f33518c470170177e972c,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Anaerovoracaceae, [Eubacterium]_nodatum_group, bacterium_PM5-7,0.71619958
805e633f669e5e954d57037440aa8f67,Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae,,,0.999999622
2155e55a5fba7d1d833d29410cad7d11,Bacteria, Bacteroidota, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter,,0.979283351
70e8e2c6488e82531b52e68b9328bd50,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae,,,0.999996675
fd9439b650a313328229348f28a94865,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae, Anaerosporobacter, uncultured_bacterium,0.705459205
45114cc2a223e679265c91349e3c9aea,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas,,0.999979443
3bdf3962a4d6b9738dc1bfa095f6cc8e,Bacteria, Bacteroidota, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Sphingobacterium,,1
8ca47e3f7a6d3e6bf8ee598100421cbc,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,0.99439132
2a945d750b90b5d8937c233a3175b744,Bacteria, Firmicutes, Clostridia, Peptococcales, Peptococcaceae, uncultured, uncultured_bacterium,0.870551591
4cf9490af23af672d19005d40819f32a,Bacteria, Bacteroidota, Bacteroidia, Flavobacteriales, Weeksellaceae, Chryseobacterium,,0.992902246
5065fba7b49e088060c74f4dba7630c2,Bacteria, Firmicutes, Clostridia, Oscillospirales, Oscillospiraceae,,,0.999800917
7f67df35887fe8a6f936770263b4a361,Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Microbacteriaceae,,,0.999976031
1bfa5c0bbafb3a1bff066a17234ff32e,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae, Massilia,,0.999932971
08c5bcc98810be53a97bacdd7f6c11b6,Bacteria, Bdellovibrionota, Oligoflexia, 0319-6G20, 0319-6G20, 0319-6G20, uncultured_Roseobacter,0.999999997
50a07ebe0dd5d8c66c373495abbf6d78,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, uncultured,,0.713857824
32bb691696fb42e6892672b5ad6b1da3,Bacteria, Bacteroidota, Bacteroidia, Chitinophagales, Chitinophagaceae, Edaphobaculum, uncultured_Bacteroidetes,0.741367823
a17afb10a8c5c0b58898937943ffb584,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Erwiniaceae,,,0.930401268
3ed67b1680a642b5c1e917d3b97a2c7d,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Peptostreptococcaceae,,,0.999437241
cfb727e91922d5ce5ee3a22f21d4d59f,Bacteria, Bacteroidota, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter,,0.994693443
bdb4f83284a3f77466550d181ffa7742,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Mesorhizobium,,0.988876124
c7c779fa3082af6f739c913c4bd51520,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Anaerovoracaceae, Amnipila, uncultured_Anaerovorax,0.707847089
7e4dba0a5c07c7b2eae27ae4a772657a,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae,,,0.999244352
b9847ab62a69f65db10b7121653359d7,Bacteria, Bacteroidota, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Mucilaginibacter,,0.97914293
bffbcb58184abaea7e1080b5d41454a3,Bacteria, Bacteroidota, Bacteroidia, Flavobacteriales, Weeksellaceae, Chryseobacterium,,0.999692021
780d34da7b9db7bac92b341094b6f014,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Oxalobacteraceae, Duganella,,0.936721651
cad3ef004ce40aced0f1491b0a7b699f,Bacteria, Actinobacteriota, Coriobacteriia, Coriobacteriales, Coriobacteriales_Incertae_Sedis, Raoultibacter, uncultured_bacterium,0.913800434
5d0a6f276c08d91a392f41f6a0e9d25d,Bacteria, Actinobacteriota, Coriobacteriia, Coriobacteriales, Eggerthellaceae, Eggerthella,,0.999999747
1ea83794b96a00695927de44a90aa26d,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas,,0.999999366
